Dataset,aa_Normal_AdaBoost,af_PossSum_AdaBoost,ag_PossProd_AdaBoost,ah_Threeway_AdaBoost,ba_Normal_ExtraTrees,bb_Approval_ExtraTrees,bc_Plurality_ExtraTrees,bd_Borda_ExtraTrees,be_Copeland_ExtraTrees,bf_PossSum_ExtraTrees,bg_PossProd_ExtraTrees,bh_Threeway_ExtraTrees,ca_Normal_RandomForest,cb_Approval_RandomForest,cc_Plurality_RandomForest,cd_Borda_RandomForest,ce_Copeland_RandomForest,cf_PossSum_RandomForest,cg_PossProd_RandomForest,ch_Threeway_RandomForest,da_SPA_ExtraTree,db_SPA_DecisionTree
iris,0.98,0.99,0.98,0.98,1.0,0.99,1.0,1.0,0.98,0.99,0.99,1.0,0.99,0.98,0.98,0.98,0.97,0.99,0.98,0.99,0.97,0.95
sensorless,0.76,0.78,0.89,0.87,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.98,0.99
wifi,0.98,0.96,0.98,0.93,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,0.99
mice,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99
vowel,0.71,0.81,0.83,0.78,0.98,0.98,0.98,0.98,0.95,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.93,0.97,0.97,0.97,0.86,0.89
frog-species,0.88,0.88,0.93,0.88,0.99,0.99,0.99,0.99,0.97,0.99,1.0,0.99,0.99,0.99,0.99,0.99,0.96,0.99,0.99,0.99,0.98,0.97
mushroom,0.73,0.84,0.88,0.86,0.94,0.91,0.89,0.93,0.92,0.94,0.94,0.89,0.94,0.92,0.9,0.93,0.93,0.94,0.94,0.9,0.89,0.88
frog-genus,0.89,0.9,0.9,0.9,0.99,0.99,0.99,0.99,0.96,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.92,0.98,0.99,0.99,0.97,0.97
digits,0.76,0.91,0.94,0.89,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.96,0.97
thyroid,1.0,1.0,1.0,0.98,0.99,0.99,0.99,0.99,0.86,0.99,0.97,0.99,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.93,0.99
robot,0.97,0.97,0.99,0.92,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.97,0.99
frog-family,0.93,0.94,0.93,0.93,0.99,0.99,0.99,0.99,0.96,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.99,0.99,0.98,0.98
hcv,0.88,0.71,0.88,0.83,0.91,0.89,0.95,0.86,0.69,0.92,0.9,0.94,0.93,0.93,0.94,0.91,0.78,0.93,0.93,0.92,0.79,0.9
obesity,0.86,0.84,0.87,0.82,0.98,0.98,0.98,0.98,0.96,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.98,0.93,0.95
wine,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,1.0,0.99,1.0,0.99,0.99,1.0,1.0,0.98,0.99,0.99,0.99,0.96,0.97
crowd,0.83,0.83,0.85,0.82,0.96,0.95,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.84,0.95,0.93,0.95,0.88,0.91
pen,0.82,0.89,0.9,0.82,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,0.99
cargo,0.66,0.64,0.7,0.67,0.8,0.8,0.81,0.8,0.71,0.8,0.82,0.8,0.79,0.8,0.79,0.8,0.7,0.8,0.81,0.8,0.73,0.73
car,0.92,0.9,0.92,0.89,0.96,0.96,0.96,0.95,0.86,0.96,0.97,0.96,0.95,0.95,0.95,0.94,0.81,0.95,0.96,0.95,0.91,0.9
qualitywine,0.63,0.61,0.62,0.6,0.73,0.74,0.73,0.73,0.65,0.74,0.73,0.73,0.74,0.75,0.75,0.74,0.63,0.73,0.75,0.75,0.7,0.7
avila,0.62,0.72,0.73,0.77,0.97,0.97,0.97,0.97,0.89,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.9,0.98,0.98,0.98,0.86,0.94
