Dataset,aa_Normal_AdaBoost,af_PossSum_AdaBoost,ag_PossProd_AdaBoost,ah_Threeway_AdaBoost,ba_Normal_ExtraTrees,bb_Approval_ExtraTrees,bc_Plurality_ExtraTrees,bd_Borda_ExtraTrees,be_Copeland_ExtraTrees,bf_PossSum_ExtraTrees,bg_PossProd_ExtraTrees,bh_Threeway_ExtraTrees,ca_Normal_RandomForest,cb_Approval_RandomForest,cc_Plurality_RandomForest,cd_Borda_RandomForest,ce_Copeland_RandomForest,cf_PossSum_RandomForest,cg_PossProd_RandomForest,ch_Threeway_RandomForest,da_SPA_ExtraTree,db_SPA_DecisionTree
iris,0.94,0.94,0.93,0.89,0.95,0.91,0.95,0.95,0.93,0.94,0.95,0.94,0.92,0.95,0.92,0.92,0.92,0.95,0.95,0.94,0.94,0.88
htru,0.98,0.93,0.98,0.95,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98
sensorless,0.3,0.29,0.44,0.38,0.99,0.99,0.99,0.98,0.97,0.99,0.99,0.98,0.97,0.97,0.97,0.96,0.95,0.97,0.97,0.97,0.91,0.92
iranian,0.79,0.78,0.79,0.74,0.76,0.76,0.76,0.76,0.76,0.75,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.77,0.78,0.77,0.73,0.75
wifi,0.94,0.91,0.94,0.71,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.95,0.96
mice,1.0,1.0,1.0,0.44,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,0.95,0.97
vowel,0.23,0.27,0.3,0.27,0.83,0.83,0.84,0.79,0.73,0.83,0.83,0.84,0.8,0.81,0.8,0.72,0.64,0.81,0.81,0.8,0.66,0.69
frog-species,0.74,0.73,0.77,0.67,0.96,0.96,0.96,0.96,0.95,0.96,0.96,0.96,0.96,0.97,0.97,0.95,0.93,0.96,0.97,0.97,0.94,0.94
mushroom,0.67,0.65,0.68,0.63,0.72,0.71,0.72,0.72,0.72,0.72,0.73,0.72,0.73,0.72,0.72,0.72,0.72,0.73,0.73,0.72,0.72,0.7
taiwan,0.96,0.96,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96
frog-genus,0.79,0.79,0.79,0.77,0.96,0.96,0.96,0.96,0.95,0.96,0.97,0.96,0.96,0.96,0.96,0.95,0.94,0.96,0.96,0.96,0.94,0.94
digits,0.43,0.51,0.6,0.42,0.95,0.95,0.95,0.94,0.92,0.95,0.95,0.95,0.95,0.95,0.96,0.93,0.89,0.95,0.95,0.95,0.87,0.89
thyroid,0.99,0.97,0.99,0.95,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.96,0.99
robot,0.86,0.89,0.93,0.83,0.95,0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.99,0.99,0.98,0.99,0.98,0.99,0.98,0.99,0.92,0.97
